news_title,type_news,topic,justification_avg_aclaracion_desmintiendo,justification_avg_medio_desconocido,justification_avg_medio_poco_fiable,justification_avg_fuentes_desconocidas,justification_avg_fuentes_no_confiables,justification_avg_sin_fuentes,justification_avg_abordaje_no_serio,justification_avg_no_coherente,justification_avg_titulo_sensacionalista,justification_avg_imagen_sensacionalista,justification_avg_no_concuerda_creencias,justification_avg_no_alineado_ideologia,justification_avg_recuerda_leida,justification_avg_medio_conocido,justification_avg_medio_fiable,justification_avg_fuentes_conocidas,justification_avg_fuentes_confiables,justification_avg_abordaje_serio,justification_avg_coherente,justification_avg_concuerda_creencias,justification_avg_alineado_ideologia,action_avg_compartira_familia_amigos,action_avg_publicara_redes,action_avg_consultara_fuentes,action_avg_aplicara_aprendido,action_avg_no_accion
Una vacuna contra la poliomielitis podría ser la solución contra el coronavirus,true_news,Science ,0.14035087719298245,0.17543859649122806,0.2631578947368421,0.08771929824561403,0.17543859649122806,0.15789473684210525,0.07017543859649122,0.03508771929824561,0.2982456140350877,0.08771929824561403,0.03508771929824561,0.05263157894736842,0.325,0.4,0.225,0.2,0.125,0.2,0.2,0.125,0.0,0.17525773195876287,0.010309278350515464,0.1958762886597938,0.061855670103092786,0.5979381443298969
Coronavirus: llega a Madrid el material sanitario al que Huawei se comprometió con el rey Felipe VI,true_news,Politics ,0.043478260869565216,0.13043478260869565,0.13043478260869565,0.06521739130434782,0.021739130434782608,0.34782608695652173,0.13043478260869565,0.1956521739130435,0.32608695652173914,0.08695652173913043,0.06521739130434782,0.043478260869565216,0.41818181818181815,0.21818181818181817,0.21818181818181817,0.2,0.12727272727272726,0.2727272727272727,0.23636363636363636,0.01818181818181818,0.01818181818181818,0.13,0.07,0.21,0.05,0.59
Utilizar guantes no tiene ningún sentido,true_news,Science ,0.13333333333333333,0.06666666666666667,0.2,0.13333333333333333,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.4666666666666667,0.2,0.26666666666666666,0.06666666666666667,0.5223880597014925,0.2835820895522388,0.23880597014925373,0.13432835820895522,0.2537313432835821,0.31343283582089554,0.29850746268656714,0.2537313432835821,0.05970149253731343,0.25316455696202533,0.08860759493670886,0.27848101265822783,0.3291139240506329,0.27848101265822783
Coronavirus | No hay evidencia de que los perros transmitan el virus,true_news,Science ,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.22727272727272727,0.0,0.36363636363636365,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.6785714285714286,0.16071428571428573,0.16071428571428573,0.05357142857142857,0.14285714285714285,0.19642857142857142,0.10714285714285714,0.10714285714285714,0.07142857142857142,0.21333333333333335,0.09333333333333334,0.28,0.10666666666666667,0.4533333333333333
Moscú vigilará la cuarentena mediante un código QR,true_news,Technology ,0.0,0.1111111111111111,0.2962962962962963,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.0,0.14814814814814814,0.037037037037037035,0.20833333333333334,0.16666666666666666,0.125,0.020833333333333332,0.08333333333333333,0.3958333333333333,0.3333333333333333,0.10416666666666667,0.041666666666666664,0.08108108108108109,0.08108108108108109,0.28378378378378377,0.05405405405405406,0.5540540540540541
El coronavirus solo se desactiva por completo a más de 90 grados,true_news,Science ,0.18604651162790697,0.09302325581395349,0.06976744186046512,0.16279069767441862,0.09302325581395349,0.046511627906976744,0.18604651162790697,0.06976744186046512,0.46511627906976744,0.046511627906976744,0.13953488372093023,0.06976744186046512,0.3148148148148148,0.3333333333333333,0.2777777777777778,0.14814814814814814,0.12962962962962962,0.35185185185185186,0.3148148148148148,0.1111111111111111,0.05555555555555555,0.2978723404255319,0.05319148936170213,0.3191489361702128,0.1276595744680851,0.3723404255319149
El uso de la mascarilla agrava el aislamiento de las personas sordas,true_news,Science ,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.0,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5789473684210527,0.039473684210526314,0.10526315789473684,0.09210526315789473,0.10526315789473684,0.3815789473684211,0.39473684210526316,0.27631578947368424,0.039473684210526314,0.29069767441860467,0.13953488372093023,0.29069767441860467,0.19767441860465115,0.313953488372093
El CSIC busca una vacuna para el Covid-19 a partir del virus que erradicó la viruela,true_news,Science ,0.0,0.19047619047619047,0.3333333333333333,0.09523809523809523,0.23809523809523808,0.2857142857142857,0.09523809523809523,0.0,0.14285714285714285,0.09523809523809523,0.19047619047619047,0.19047619047619047,0.45161290322580644,0.3709677419354839,0.1774193548387097,0.0967741935483871,0.14516129032258066,0.20967741935483872,0.20967741935483872,0.03225806451612903,0.06451612903225806,0.1625,0.0,0.275,0.0875,0.5125
La Junta iniciará el lunes el reparto de menús para menores en riesgo de exclusión en Córdoba,true_news,Politics ,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.22580645161290322,0.3064516129032258,0.3709677419354839,0.1774193548387097,0.1774193548387097,0.3225806451612903,0.3387096774193548,0.1774193548387097,0.06451612903225806,0.13333333333333333,0.10666666666666667,0.26666666666666666,0.10666666666666667,0.5333333333333333
Sanidad estudia adelantar este año la vacuna de la gripe,true_news,Politics ,0.2,0.35,0.35,0.3,0.25,0.35,0.2,0.1,0.35,0.05,0.1,0.1,0.49206349206349204,0.30158730158730157,0.2857142857142857,0.1746031746031746,0.1111111111111111,0.2857142857142857,0.2857142857142857,0.07936507936507936,0.047619047619047616,0.2073170731707317,0.06097560975609756,0.2804878048780488,0.12195121951219512,0.43902439024390244
